Contrast,n,Da_peak,Da_peak_lo,Da_peak_hi,Da_peak_primary_lowDa,Da_peak_primary_lowDa_lo,Da_peak_primary_lowDa_hi,Da_centroid_f095,Da_centroid_f095_lo,Da_centroid_f095_hi,dlog10Da_centroid_f095_minus_peak,DaR_peak,DaR_peak_lo,DaR_peak_hi,DaR_peak_primary_lowDa,DaR_peak_primary_lowDa_lo,DaR_peak_primary_lowDa_hi,DaR_centroid_f095,DaR_centroid_f095_lo,DaR_centroid_f095_hi,dlog10DaR_centroid_f095_minus_peak,log10Da_peak,log10DaR_peak,HI_peak_curve,bimodal_flag,multi_peak_flag,n_peaks,peak_sep_decades,secondary_ratio,Da_peak2,cross_bimodal,cross_ratio,cross_sep_decades,Da_low_lobe,HI_low_lobe,Da_high_lobe,HI_high_lobe,HI_peak_lo,HI_peak_hi,width_decades_f098,width_left_decades_f098,width_right_decades_f098,width_decades_f095,width_left_decades_f095,width_right_decades_f095,width_decades_f090,width_left_decades_f090,width_right_decades_f090,width_frac,width_interp,hitL_Da,hitR_Da,hitL_DaR,hitR_DaR,nBins_Da,nBins_DaR,n_boot,boot_kept_Da,boot_kept_DaR,boot_finite_Da,boot_finite_DaR,boot_hitL_Da_frac,boot_hitR_Da_frac,boot_hitL_DaR_frac,boot_hitR_DaR_frac
7.6,580,0.00011220098774411837,8.315414018513764e-05,0.00014983894882598058,0.00011307405461872404,8.273294519059436e-05,0.00015187214562124084,0.00011811996368117723,8.615166977525637e-05,0.00014102903969492913,0.022326624577213128,0.0008527275068553005,0.0006319714654070449,0.0011387760110774512,0.0008593628151023027,0.0006287703834485178,0.0011542283067214306,0.0008977117239769479,0.0006547526902919485,0.0010718207016814604,0.022326624577213128,-3.950003319818432,-3.06918972753764,0.11123234546039817,False,True,2,4.5165188728462935,0.2362643786211696,3.7143415648739566,False,0.2362643786211696,4.5165188728462935,0.00011307405461872404,0.11130629249892358,3.7143415648739566,0.026297712033884334,0.10500685487055048,0.1174869464628472,0.267759502416268,0.10127242673686787,0.16648707567940013,0.4864246128648868,0.23183686090881306,0.25458775195607375,0.7503336541099972,0.3886202589866885,0.3617133951233087,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
9.2,582,9.88325741793646e-05,7.460512788102324e-05,0.00013258878206306998,9.874871981630755e-05,7.397251650950876e-05,0.00013274464472123908,9.830705353160767e-05,7.616088448027349e-05,0.00012706208915437184,-0.0023154275039471983,0.0009092596824501559,0.0006863671765054123,0.0012198167949802423,0.00090848822231003,0.0006805471518874803,0.0012212507314354004,0.0009044248924907912,0.0007006801372185152,0.0011689712202202194,-0.0023154275039476424,-4.005099892914616,-3.0413120655690604,0.11432219197257493,False,True,2,4.49238153371384,0.24318050688532547,3.068407303769215,False,0.24318050688532547,4.49238153371384,9.874871981630755e-05,0.11432870914101469,3.068407303769215,0.027802513440456894,0.10737144526019299,0.12100366386409342,0.25769107935800006,0.1283621253921723,0.12932895396582778,0.5068860483482767,0.2617194783810026,0.24516656996727404,0.8123421181796711,0.4398728884264722,0.37246922975319885,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
11.2,582,8.491296349192743e-05,5.8355386327991454e-05,0.00012325812547033007,8.44604928091553e-05,5.8146303395847855e-05,0.0001243055974738284,8.869784275043977e-05,6.077481379881292e-05,0.00011416290408634567,0.01893905916684968,0.0009510251911095859,0.0006535803268735048,0.0013804910052676977,0.0009459575194625382,0.0006512385980334958,0.0013922226917068776,0.000993415838804922,0.0006806779145467053,0.0012786245257670698,0.018939059166848793,-4.071026001826365,-3.0218079791561836,0.11704812667429658,False,True,2,4.48872614655573,0.2530253136843153,2.6024342003471506,False,0.2530253136843153,4.48872614655573,8.44604928091553e-05,0.11707628613723707,2.6024342003471506,0.02962326402486906,0.11040459833775285,0.1264805780104993,0.3031972631348001,0.11846768703355437,0.18472957610124574,0.5316435146152467,0.2553568869923142,0.27628662762293255,0.8475883070361592,0.43708400160800664,0.4105043054281525,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
13.6,581,7.181899123836878e-05,4.844407781277578e-05,8.341731236728265e-05,7.0417992829672e-05,4.781323726042981e-05,8.412300172819648e-05,6.893495531839988e-05,4.9245638497964855e-05,8.15852963527989e-05,-0.01779980235179668,0.0009767382808418153,0.0006588394582537505,0.0011344754481950427,0.0009576847024835381,0.0006502600267418447,0.0011440728235034743,0.0009375153923302382,0.0006697406835723233,0.0011095600303980646,-0.01779980235179668,-4.1437606992195075,-3.01022179084929,0.12294050879636957,False,True,2,4.694970737358354,0.22216889155344113,3.4886257278025026,False,0.22384002632633765,2.1537674821262236,7.0417992829672e-05,0.12309842852029156,0.010033469251067188,0.027554355480712854,0.11693452593824416,0.13073597444495547,0.3009753077429398,0.1677636953996302,0.13321161234330958,0.5303626064145526,0.286681436746238,0.24368116966831455,0.8287817259452819,0.4496838715173128,0.37909785442796906,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
16.5,580,5.917827982867651e-05,3.727628754304875e-05,6.64678701861621e-05,5.94787767541231e-05,3.723703030687325e-05,6.714573426460239e-05,5.557754906817563e-05,3.900244232641762e-05,6.147195862455044e-05,-0.027262946329623006,0.0009764416171731624,0.0006150587444603037,0.0010967198580716757,0.000981399816443032,0.0006144110000634081,0.0011079046153659382,0.0009170295596248979,0.0006435402983858906,0.001014287317305081,-0.027262946329623006,-4.227837662895752,-3.0103537186818454,0.12911881528376734,False,True,3,1.762613707363725,0.3425711959974427,0.003443306921520262,False,0.20605611920223002,4.687348683231496,5.94787767541231e-05,0.1291493284599548,2.8954142763418425,0.026612009420032404,0.12133641676578479,0.13836934772483883,0.2927867078255808,0.1839384626539422,0.1088482451716386,0.5093886322555763,0.281129105030427,0.2282595272251493,0.7872107232247414,0.4352349717292032,0.35197575149553817,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
20.1,572,3.8658415038872704e-05,2.8253358184298528e-05,5.733375512603407e-05,3.7699998237420966e-05,2.790235050726682e-05,5.79274182478315e-05,3.8764802977941534e-05,3.107984700063074e-05,5.474922424022854e-05,0.001193536645528681,0.0007770341422813417,0.0005678924995044012,0.0011524084780332807,0.0007577699645721625,0.0005608372451960633,0.0011643411067814124,0.0007791725398566259,0.0006247049247126768,0.001100459407228594,0.0011935366455291252,-4.412755955635507,-3.1095598982150183,0.13487383417373758,False,True,2,4.812235499384613,0.19872050399567187,2.4466780697218162,False,0.19872050399567187,4.812235499384613,3.7699998237420966e-05,0.13500920590993426,2.4466780697218162,0.02682909744247758,0.1276869218468766,0.14308153281786612,0.3687711045832991,0.17723298641221774,0.19153811817108135,0.5893611448749807,0.29648255470812845,0.29287859016685225,0.9016856644802429,0.4625053353572852,0.4391803291229577,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
24.4,572,3.0447461687510527e-05,2.2576962770577412e-05,4.609699651671369e-05,3.10556572568806e-05,2.236696671053912e-05,4.639171851107077e-05,3.16389729236482e-05,2.5391810552399506e-05,4.3279189267275934e-05,0.01667128415721475,0.0007429180651752573,0.0005508778916020886,0.0011247667150078122,0.000757758037067887,0.0005457539877371542,0.001131957931670126,0.0007719909393370157,0.0006195601774785476,0.0010560122181215335,0.016671284157214306,-4.516448907335115,-3.1290590809963854,0.14023881351256634,False,True,2,4.812652197028784,0.19329228088512257,2.0174042065119075,False,0.20800733621562084,2.518262520797907,3.10556572568806e-05,0.1403695409304814,0.010242435690478535,0.029197894294758997,0.13246945151576,0.14803082631443773,0.39137819165524146,0.18076201240675172,0.21061617924848974,0.6185565481304973,0.2897437679471997,0.3288127801832976,0.9454318872335676,0.45833251812498155,0.4870993691085861,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
29.7,568,2.860852742503286e-05,2.130659230332505e-05,4.001961636275617e-05,2.877278810217411e-05,2.1198121847818432e-05,4.0238640866207104e-05,2.619737530645869e-05,2.244278216045883e-05,3.928019201156873e-05,-0.03823772192427377,0.0008496732645234749,0.0006311224201393434,0.0011846625942778537,0.0008545518066345709,0.0006226336098657581,0.0011885572270308841,0.0007780620466018238,0.0006647024682262302,0.0011651607581355935,-0.03823772192427288,-4.543504496184305,-3.070748046867093,0.14641522059607537,False,True,2,4.769128896564667,0.18928381821860224,1.690872433802672,False,0.18928381821860224,4.769128896564667,2.877278810217411e-05,0.14643786784378027,1.690872433802672,0.027718318757261804,0.13953500138006242,0.1540657541668855,0.3415957920018755,0.21990656965223465,0.12168922234964086,0.5876084990783053,0.32472400638277943,0.26288449269552583,0.9449826736757156,0.487394100235357,0.45758857344035864,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
36.1,569,2.2810717773325883e-05,1.8414433354123098e-05,3.30193777330222e-05,2.276934422336772e-05,1.831815808675204e-05,3.353599295178067e-05,2.3341124992996075e-05,2.0085429749719455e-05,3.1793093146425345e-05,0.00998283307527359,0.0008234669116170657,0.0006647610440838443,0.001191999536162102,0.0008219733264635743,0.0006612855069317483,0.0012106493455592829,0.0008426146122471588,0.0007248323274509697,0.0011477306625859568,0.009982833075273145,-4.641861048783404,-3.084353846877746,0.15246060246120968,False,True,2,4.9755552999632044,0.1477618403986781,2.152314951958803,False,0.18093534620726665,2.6816201743002837,2.276934422336772e-05,0.15247496888070403,0.010938825567323247,0.02758811128237239,0.14763184489336914,0.1598807195712759,0.3120348265277908,0.14469420237517294,0.16734062415261786,0.5827898287451312,0.278169644711733,0.3046201840333982,0.9925638878099488,0.4667214606843979,0.5258424271255508,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
43.9,570,1.8498476528048234e-05,1.639432940364928e-05,3.0287456552838964e-05,1.816355896795889e-05,1.647320688971298e-05,3.0620521507700205e-05,1.9647552449097028e-05,1.6732671083680266e-05,3.0130363699142564e-05,0.026172493943764863,0.0008120831195813165,0.0007197110608202027,0.001329619342669629,0.0007973802386933959,0.0007231737824583996,0.00134424089418804,0.0008625275525153603,0.0007345642605735644,0.0013227229663923571,0.02617249394376575,-4.732864037148676,-3.0903995169065555,0.15689688946027455,False,True,2,4.98716054379437,0.09821338533283319,1.763443266004109,False,0.14325229274112217,2.8853565199096245,1.816355896795889e-05,0.1570246275227706,0.01394946231948774,0.022494137909457604,0.1510992849112402,0.16493766620183303,0.3315388545754612,0.1412667045089666,0.19027215006649456,0.6256753649823024,0.2728935519472788,0.35278181303502354,1.1656085282993516,0.46572239269258553,0.699886135606766,0.98,True,False,False,False,False,40,40,250,250,250,250,250,0.0,0.0,0.0,0.0
