Contrast,n_bins,sigma,log10Da_peak,dlog10Da_peak_vs_base,log10Da_centroid_f095,dlog10Da_centroid_f095_vs_base,HI_peak,hitL,hitR,nBins_valid
2.4,30,1.6,-3.8343125886525122,-0.10305987454674792,-3.7568141252117355,-0.017528116408539685,0.08764176469668164,False,False,30
2.9,30,1.6,-3.6606446730395805,0.13023203349295587,-3.7489977796808027,-0.0004094167081749589,0.09225593908536284,False,False,30
3.5,30,1.6,-3.7226342613479853,-0.027352382583471613,-3.7878586612198157,-0.017945401862769383,0.09557193397405979,False,False,30
4.2,30,1.6,-3.781945769956001,-0.0474935829979084,-3.8517359356222602,-0.032207556981512564,0.09748482536082431,False,False,30
5.1,30,1.6,-3.8466684148712065,-0.028071671337502213,-3.8798561888401606,-0.04954507464260871,0.10007117419674748,False,False,30
6.2,30,1.6,-3.9290475571144468,-0.047196803106090535,-3.902828340476985,-0.05019031238156657,0.1025303438104709,False,False,30
7.6,30,1.6,-3.978236246794989,-0.028232926976557327,-3.989444888706135,-0.061768193464916354,0.10543721913970586,False,False,30
9.2,30,1.6,-4.034821820959034,-0.029721928044417645,-4.095143017567395,-0.08772769714883122,0.1094996477566364,False,False,30
11.2,30,1.6,-4.10086614988543,-0.02984014805906554,-4.08692154768905,-0.03483460502953495,0.11319485676428195,False,False,30
13.6,30,1.6,-4.191865927089928,-0.04810522787042082,-4.190742123754927,-0.02918162218362319,0.11883162949207925,False,False,30
16.5,30,1.6,-4.256326799926045,-0.02848913703029332,-4.2894374128768575,-0.03433680365148284,0.12531020629103626,False,False,30
20.1,30,1.6,-4.264227425216825,0.14852853041868208,-4.389275337483886,0.02228708150609293,0.13054670429228968,False,False,30
24.4,30,1.6,-4.348252221680098,0.16819668565501722,-4.470506751308782,0.029270871869118587,0.13558489084320305,False,False,30
29.7,30,1.6,-4.629260792740638,-0.08575629655633321,-4.550468011777195,0.03127420633138378,0.14424817008263757,False,False,30
36.1,30,1.6,-4.729531611233221,-0.08767056244981664,-4.629342749594548,0.00253546611358324,0.14824534192627717,False,False,30
43.9,30,1.6,-4.818358868468079,-0.08549483131940239,-4.676280076072181,0.030411467132730685,0.15241488048960605,False,False,30
53.3,30,1.6,-4.648782712317615,0.1486315257393258,-4.6369876438950826,0.059726857539826206,0.15589684945616014,False,False,30
64.7,30,1.6,-4.479065065514364,0.225892705403826,-4.5679165691050505,0.0019306358593862427,0.15970582051491916,False,False,30
78.6,30,1.6,-4.541667137032473,-0.14608975936320956,-4.58671158784209,-0.09165207064366232,0.1651702520359599,False,False,30
95.4,30,1.6,-4.6014414416526055,-0.16808095112321197,-4.5892528040094875,-0.08903395407365888,0.17035090711677692,False,False,30
115.8,30,1.6,-4.704702276899743,-0.15251692767330027,-4.686606677977741,-0.062134141709351276,0.17439228651792418,False,False,30
1.2,40,0.8,-3.856536288588626,-0.17732592618178789,-3.817597286915344,-0.23313987847717144,0.07973264282328467,False,False,40
1.4,40,0.8,-3.9038956958864937,-0.15763363716813927,-3.854605589928697,-0.17652359478998303,0.08247016100005072,False,False,40
1.7,40,0.8,-3.988095008740122,-0.17732657690399378,-3.95079502853435,-0.2511394257434243,0.08476460014035561,False,False,40
2.0,40,0.8,-4.058436194117671,-0.37430780735129554,-3.748830724923042,0.003817838417701669,0.08546324382654594,False,False,40
2.4,40,0.8,-3.7312527141057643,0.0,-3.6656750944362155,0.0736109143669803,0.09180764813684432,False,False,40
2.9,40,0.8,-3.633624159857503,0.1572525466750334,-3.6985141452860826,0.050074217686545186,0.09734903295506665,False,False,40
3.5,40,0.8,-3.6952818787645136,0.0,-3.7175802689794133,0.05233299037763306,0.10114392730468152,False,False,40
4.2,40,0.8,-3.7344521869580927,0.0,-3.7388348165037275,0.08069356213702017,0.10097910870256517,False,False,40
5.1,40,0.8,-3.622108885821311,0.1964878577123934,-3.7482434186615663,0.08206769553598559,0.10418491277735568,False,False,40
6.2,40,0.8,-3.881850754008356,0.0,-3.820369810358273,0.03226821773714539,0.11114377524592092,False,False,40
7.6,40,0.8,-3.950003319818432,0.0,-3.896657423583193,0.031019271658025982,0.11480635727189774,False,False,40
9.2,40,0.8,-4.005099892914616,0.0,-3.9951312673781043,0.01228405304045932,0.11869119453267636,False,False,40
11.2,40,0.8,-4.071026001826365,0.0,-4.043571121074504,0.008515821585010741,0.12092520473406622,False,False,40
13.6,40,0.8,-4.1437606992195075,0.0,-4.159729543169271,0.0018309584020332892,0.12647463214317795,False,False,40
16.5,40,0.8,-4.227837662895752,0.0,-4.266334682181569,-0.011234072956193941,0.1324882996439889,False,False,40
20.1,40,0.8,-4.412755955635507,0.0,-4.407829254814423,0.003733164175555359,0.13774821536593898,False,False,40
24.4,40,0.8,-4.516448907335115,0.0,-4.516555949697385,-0.016778326519484743,0.14324310508193483,False,False,40
29.7,40,0.8,-4.543504496184305,0.0,-4.602459583950904,-0.02071736584232564,0.1504941505556861,False,False,40
36.1,40,0.8,-4.641861048783404,0.0,-4.64366105480246,-0.011782839094329312,0.15810405019283708,False,False,40
43.9,40,0.8,-4.732864037148676,0.0,-4.743889461893341,-0.037197918688429255,0.16304539519643568,False,False,40
53.3,40,0.8,-4.817085139376749,-0.019670901319807754,-4.752414171831533,-0.05569967039662416,0.16481267880315909,False,False,40
